ROXA_ECOLI^ROXA_ECOLI^Q:109-481,H:3-370^48.53%ID^E:4e-122^.^.
PHRA_AGRFC^PHRA_AGRFC^Q:3-310,H:162-478^48.3%ID^E:2e-91^.^.
DMDC_RUEPO^DMDC_RUEPO^Q:2-572,H:3-587^46.64%ID^E:3e-155^.^.
CZCA_CUPMC^CZCA_CUPMC^Q:23-332,H:724-1036^23.51%ID^E:2e-18^.^.
PRPE_BACMF^PRPE_BACMF^Q:7-223,H:6-218^26.16%ID^E:3e-08^.^.
TUPA_EUBAC^TUPA_EUBAC^Q:25-263,H:42-284^44.86%ID^E:1e-69^.^.
LPXL_ECOLI^LPXL_ECOLI^Q:1-148,H:138-286^53.69%ID^E:5e-48^.^.
DCTM_PSEAE^DCTM_PSEAE^Q:190-609,H:14-422^35.7%ID^E:9e-61^.^.
DCTP_VIBCH^DCTP_VIBCH^Q:410-711,H:29-330^57.28%ID^E:3e-115^.^.
OCD_AGRFC^OCD_AGRFC^Q:293-635,H:5-347^67.93%ID^E:2e-167^.^.
RISA_BRUA2^RISA_BRUA2^Q:1-141,H:1-143^44.83%ID^E:5e-35^.^.
BARK_DROME^BARK_DROME^Q:2-81,H:2228-2306^43.75%ID^E:5e-11^.^.
AACS_RHIME^AACS_RHIME^Q:147-524,H:29-404^47.78%ID^E:2e-117^.^.
GSTD2_DROME^GSTD2_DROME^Q:3-125,H:30-147^29.27%ID^E:4e-10^.^.
TMP_BPP2^TMP_BPP2^Q:1-564,H:1-558^27.77%ID^E:7e-52^.^.
TADA_AGRFC^TADA_AGRFC^Q:1-134,H:8-141^52.99%ID^E:5e-43^.^.
BPD_BP186^BPD_BP186^Q:1061-1291,H:10-248^27.24%ID^E:8e-16^.^.
ADCY6_CANLF^ADCY6_CANLF^Q:45-202,H:118-273^33.54%ID^E:9e-16^.^.
APBC_METMP^APBC_METMP^Q:77-319,H:43-288^43.09%ID^E:1e-62^.^.
APBC_HAEIN^APBC_HAEIN^Q:108-302,H:103-297^55.1%ID^E:1e-73^.^.
YEDY_HAES1^YEDY_HAES1^Q:1-253,H:65-317^66.4%ID^E:3e-126^.^.
DAPB2_PSEMX^DAPB2_PSEMX^Q:2-510,H:178-719^28.9%ID^E:2e-48^.^.
RIBN_OCHA4^RIBN_OCHA4^Q:16-147,H:31-166^38.24%ID^E:3e-16^.^.
BARK_DROME^BARK_DROME^Q:1-175,H:1628-1796^33.71%ID^E:1e-25^.^.
GGP3_ARATH^GGP3_ARATH^Q:5-175,H:26-202^32.04%ID^E:6e-22^.^.
T3HPD_PSEAE^T3HPD_PSEAE^Q:19-331,H:1-305^45.71%ID^E:2e-75^.^.
DCTM_PSEAE^DCTM_PSEAE^Q:27-190,H:262-425^68.29%ID^E:6e-69^.^.
ESIB_ECOL6^ESIB_ECOL6^Q:2-146,H:4-133^27.59%ID^E:2e-08^.^.
TFOY_VIBF1^TFOY_VIBF1^Q:1-100,H:92-191^61%ID^E:9e-39^.^.
BETS_RHIML^BETS_RHIML^Q:19-108,H:54-143^33.33%ID^E:2e-06^.^.
DCTM_PSEAE^DCTM_PSEAE^Q:44-444,H:44-415^32.01%ID^E:3e-42^.^.
DCTD_PSEAE^DCTD_PSEAE^Q:562-1003,H:9-443^49.1%ID^E:5e-129^.^.
TMP_BPP2^TMP_BPP2^Q:193-712,H:22-552^30.8%ID^E:2e-50^.^.
UFAA1_MYCTU^UFAA1_MYCTU^Q:3-231,H:196-423^41.48%ID^E:3e-49^.^.
PUTP_BACSU^PUTP_BACSU^Q:19-495,H:1-472^52.92%ID^E:6e-164^.^.
TRMO_ECOLI^TRMO_ECOLI^Q:2-142,H:70-233^51.22%ID^E:1e-48^.^.
TCP17_TRYCR^TCP17_TRYCR^Q:1-60,H:89-149^52.46%ID^E:6e-12^.^.
VGRG1_VIBCH^VGRG1_VIBCH^Q:1-214,H:429-642^63.55%ID^E:1e-81^.^.
DCTM_PSEAE^DCTM_PSEAE^Q:119-510,H:38-424^30.25%ID^E:4e-38^.^.
CARB_AGRFC^CARB_AGRFC^Q:3-184,H:427-614^48.4%ID^E:2e-51^.^.
VGRG1_VIBCH^VGRG1_VIBCH^Q:1-54,H:594-647^68.52%ID^E:4e-06^.^.
FTSY_AGRFC^FTSY_AGRFC^Q:35-314,H:198-478^54.09%ID^E:6e-103^.^.
CTAA_AGRFC^CTAA_AGRFC^Q:20-359,H:18-356^52.31%ID^E:6e-114^.^.
SERB_VIBCH^SERB_VIBCH^Q:1-321,H:3-324^60.25%ID^E:2e-130^.^.
ARREH_ACIF2^ARREH_ACIF2^Q:381-582,H:3-204^71.29%ID^E:1e-94^.^.
BSHA_BACSU^BSHA_BACSU^Q:16-155,H:229-369^28.47%ID^E:1e-08^.^.
LIPB_AGRFC^LIPB_AGRFC^Q:4-232,H:30-260^67.52%ID^E:1e-107^.^.
UGPC3_AGRFC^UGPC3_AGRFC^Q:995-1349,H:1-353^65.27%ID^E:2e-146^.^.
PCCB_RHOS4^PCCB_RHOS4^Q:2-468,H:5-461^31.46%ID^E:7e-62^.^.
Y1380_AGRFC^Y1380_AGRFC^Q:1-371,H:1-371^53.91%ID^E:1e-127^.^.
ISPT_AGRFC^ISPT_AGRFC^Q:21-254,H:9-242^63.68%ID^E:2e-104^.^.
DCTB_PSEAE^DCTB_PSEAE^Q:52-224,H:69-241^38.15%ID^E:2e-33^.^.
ACNA_SALTY^ACNA_SALTY^Q:1-148,H:716-864^60.4%ID^E:3e-54^.^.
Y3479_MYCTU^Y3479_MYCTU^Q:27-93,H:710-781^33.33%ID^E:2e-06^.^.
HIS8_AGRFC^HIS8_AGRFC^Q:6-205,H:17-216^49.5%ID^E:1e-57^.^.
CDIA_YERPE^CDIA_YERPE^Q:45-376,H:88-421^38.99%ID^E:8e-58^.^.
DCTM_RHOCA^DCTM_RHOCA^Q:4-176,H:113-296^30.53%ID^E:8e-15^.^.
GLMS_AGRFC^GLMS_AGRFC^Q:1-159,H:74-232^54.72%ID^E:5e-55^.^.
GBTR_ACIAD^GBTR_ACIAD^Q:43-371,H:11-323^36.36%ID^E:1e-70^.^.
PCCB_RHOS4^PCCB_RHOS4^Q:1-510,H:1-510^74.71%ID^E:0^.^.
NORM_AGRFC^NORM_AGRFC^Q:12-412,H:19-421^42.86%ID^E:4e-101^.^.
FLGC_AGRFC^FLGC_AGRFC^Q:125-247,H:5-134^40.77%ID^E:9e-21^.^.
ARSH_CANLF^ARSH_CANLF^Q:202-271,H:7-72^48.57%ID^E:2e-13^.^.
APRA_PSEPA^APRA_PSEPA^Q:1-108,H:290-396^44.04%ID^E:8e-14^.^.`APRA_PSEPA^APRA_PSEPA^Q:119-163,H:343-387^46.67%ID^E:5e-06^.^.
LOGH_PSEAE^LOGH_PSEAE^Q:1-131,H:48-178^53.44%ID^E:2e-41^.^.
SC5D_RAT^SC5D_RAT^Q:191-395,H:59-258^24.76%ID^E:2e-13^.^.
KTHY_AGRFC^KTHY_AGRFC^Q:324-520,H:5-200^52.02%ID^E:1e-57^.^.
PCCB_RHOS4^PCCB_RHOS4^Q:4-164,H:1-161^85.71%ID^E:1e-96^.^.
CNRA_CUPMC^CNRA_CUPMC^Q:78-464,H:681-1075^27.27%ID^E:6e-29^.^.
BETS_RHIML^BETS_RHIML^Q:1-163,H:375-540^48.8%ID^E:2e-44^.^.
CDIA1_ECO5C^CDIA1_ECO5C^Q:16-189,H:621-824^31.31%ID^E:2e-08^.^.
BPJ_BPP2^BPJ_BPP2^Q:366-627,H:6-273^38.52%ID^E:1e-44^.^.
TRA8_CUPMC^TRA8_CUPMC^Q:216-530,H:7-269^39.24%ID^E:7e-51^.^.
